date of transfer,price
1995-01-01 00:00,3566385
1995-01-02 00:00,5218545
1995-01-03 00:00,67660396
1995-01-04 00:00,90693925
1995-01-05 00:00,107245583
1995-01-06 00:00,347500693
1995-01-07 00:00,2032945
1995-01-08 00:00,5540902
1995-01-09 00:00,106939312
1995-01-10 00:00,69968839
1995-01-11 00:00,76052296
1995-01-12 00:00,184603292
1995-01-13 00:00,189155052
1995-01-14 00:00,1990435
1995-01-15 00:00,4888839
1995-01-16 00:00,149415084
1995-01-17 00:00,68956512
1995-01-18 00:00,71522023
1995-01-19 00:00,90426257
1995-01-20 00:00,372059762
1995-01-21 00:00,5412435
1995-01-22 00:00,3144290
1995-01-23 00:00,82696982
1995-01-24 00:00,58976861
1995-01-25 00:00,77374846
1995-01-26 00:00,104106989
1995-01-27 00:00,615809329
1995-01-28 00:00,2267795
1995-01-29 00:00,3014747
1995-01-30 00:00,144916212
1995-01-31 00:00,336740806
1995-02-01 00:00,94811713
1995-02-02 00:00,68799016
1995-02-03 00:00,297648341
1995-02-04 00:00,973495
1995-02-05 00:00,1886540
1995-02-06 00:00,86713066
1995-02-07 00:00,56185909
1995-02-08 00:00,66230273
1995-02-09 00:00,66814204
1995-02-10 00:00,360356134
1995-02-11 00:00,676945
1995-02-12 00:00,1860045
1995-02-13 00:00,69538813
1995-02-14 00:00,83992915
1995-02-15 00:00,85489914
1995-02-16 00:00,78537397
1995-02-17 00:00,394713073
1995-02-18 00:00,1415435
1995-02-19 00:00,3228650
1995-02-20 00:00,123279773
1995-02-21 00:00,77389691
1995-02-22 00:00,76935457
1995-02-23 00:00,106979646
1995-02-24 00:00,569382595
1995-02-25 00:00,4704106
1995-02-26 00:00,2333106
1995-02-27 00:00,134271787
1995-02-28 00:00,422001233
1995-03-01 00:00,125483868
1995-03-02 00:00,64073780
1995-03-03 00:00,346325660
1995-03-04 00:00,1963337
1995-03-05 00:00,1985550
1995-03-06 00:00,101700704
1995-03-07 00:00,60898507
1995-03-08 00:00,76992142
1995-03-09 00:00,72790654
1995-03-10 00:00,378890008
1995-03-11 00:00,1186944
1995-03-12 00:00,1439195
1995-03-13 00:00,79155409
1995-03-14 00:00,76085830
1995-03-15 00:00,102835950
1995-03-16 00:00,86765690
1995-03-17 00:00,425029557
1995-03-18 00:00,2360511
1995-03-19 00:00,2698094
1995-03-20 00:00,111133736
1995-03-21 00:00,69219308
1995-03-22 00:00,85975511
1995-03-23 00:00,103868793
1995-03-24 00:00,523752994
1995-03-25 00:00,4504285
1995-03-26 00:00,1979240
1995-03-27 00:00,130579571
1995-03-28 00:00,94848308
1995-03-29 00:00,119088282
1995-03-30 00:00,216606144
1995-03-31 00:00,1217970807
1995-04-01 00:00,3775280
1995-04-02 00:00,1199450
1995-04-03 00:00,123190182
1995-04-04 00:00,80084490
1995-04-05 00:00,93310166
1995-04-06 00:00,111786216
1995-04-07 00:00,459137517
1995-04-08 00:00,1913900
1995-04-09 00:00,1964400
1995-04-10 00:00,154368092
1995-04-11 00:00,109228902
1995-04-12 00:00,214983375
1995-04-13 00:00,504489802
1995-04-14 00:00,3294600
1995-04-15 00:00,2180141
1995-04-16 00:00,379750
1995-04-17 00:00,2319377
1995-04-18 00:00,92466593
1995-04-19 00:00,122089062
1995-04-20 00:00,124628169
1995-04-21 00:00,399324786
1995-04-22 00:00,2697464
1995-04-23 00:00,1770850
1995-04-24 00:00,113826587
1995-04-25 00:00,77865623
1995-04-26 00:00,104194602
1995-04-27 00:00,158166578
1995-04-28 00:00,1013224296
1995-04-29 00:00,5723684
1995-04-30 00:00,3321538
1995-05-01 00:00,137411770
1995-05-02 00:00,79431482
1995-05-03 00:00,84180588
1995-05-04 00:00,103122782
1995-05-05 00:00,499548999
1995-05-06 00:00,4155190
1995-05-07 00:00,1754445
1995-05-08 00:00,3109653
1995-05-09 00:00,95078685
1995-05-10 00:00,93848138
1995-05-11 00:00,87602650
1995-05-12 00:00,439740506
1995-05-13 00:00,1332395
1995-05-14 00:00,2391582
1995-05-15 00:00,117856441
1995-05-16 00:00,71512973
1995-05-17 00:00,77665587
1995-05-18 00:00,97245830
1995-05-19 00:00,460094365
1995-05-20 00:00,3258239
1995-05-21 00:00,2251560
1995-05-22 00:00,111596328
1995-05-23 00:00,76624399
1995-05-24 00:00,121632283
1995-05-25 00:00,186508529
1995-05-26 00:00,946740637
1995-05-27 00:00,1518605
1995-05-28 00:00,3504785
1995-05-29 00:00,3476003
1995-05-30 00:00,131131177
1995-05-31 00:00,501807472
1995-06-01 00:00,149837004
1995-06-02 00:00,361429793
1995-06-03 00:00,3937619
1995-06-04 00:00,1146895
1995-06-05 00:00,97035601
1995-06-06 00:00,74495730
1995-06-07 00:00,94190265
1995-06-08 00:00,106107288
1995-06-09 00:00,457831992
1995-06-10 00:00,2712570
1995-06-11 00:00,2037550
1995-06-12 00:00,111571368
1995-06-13 00:00,56088464
1995-06-14 00:00,105460950
1995-06-15 00:00,115812576
1995-06-16 00:00,485512570
1995-06-17 00:00,3252244
1995-06-18 00:00,2669850
1995-06-19 00:00,121033156
1995-06-20 00:00,87755173
1995-06-21 00:00,105515519
1995-06-22 00:00,103019968
1995-06-23 00:00,537221310
1995-06-24 00:00,4389119
1995-06-25 00:00,3566695
1995-06-26 00:00,136666244
1995-06-27 00:00,97042057
1995-06-28 00:00,172231046
1995-06-29 00:00,219713931
1995-06-30 00:00,1409207838
1995-07-01 00:00,4054165
1995-07-02 00:00,1704095
1995-07-03 00:00,139218113
1995-07-04 00:00,80041024
1995-07-05 00:00,85733079
1995-07-06 00:00,97451692
1995-07-07 00:00,444505614
1995-07-08 00:00,1896250
1995-07-09 00:00,2538100
1995-07-10 00:00,125726142
1995-07-11 00:00,79875198
1995-07-12 00:00,100511341
1995-07-13 00:00,80910369
1995-07-14 00:00,562356992
1995-07-15 00:00,3788975
1995-07-16 00:00,1933239
1995-07-17 00:00,138217892
1995-07-18 00:00,97105120
1995-07-19 00:00,111220199
1995-07-20 00:00,121648288
1995-07-21 00:00,524196863
1995-07-22 00:00,2164850
1995-07-23 00:00,2550285
1995-07-24 00:00,168032012
1995-07-25 00:00,109006988
1995-07-26 00:00,135289809
1995-07-27 00:00,173043368
1995-07-28 00:00,917837061
1995-07-29 00:00,4748319
1995-07-30 00:00,3173550
1995-07-31 00:00,449595626
1995-08-01 00:00,148064554
1995-08-02 00:00,93341872
1995-08-03 00:00,111899048
1995-08-04 00:00,436310116
1995-08-05 00:00,1857170
1995-08-06 00:00,1658745
1995-08-07 00:00,139028172
1995-08-08 00:00,105287654
1995-08-09 00:00,107696623
1995-08-10 00:00,127107094
1995-08-11 00:00,490390888
1995-08-12 00:00,2883968
1995-08-13 00:00,1389700
1995-08-14 00:00,159445744
1995-08-15 00:00,123640233
1995-08-16 00:00,126305280
1995-08-17 00:00,124835085
1995-08-18 00:00,529151107
1995-08-19 00:00,2350345
1995-08-20 00:00,2688970
1995-08-21 00:00,164723934
1995-08-22 00:00,112482628
1995-08-23 00:00,141267988
1995-08-24 00:00,195805383
1995-08-25 00:00,784750831
1995-08-26 00:00,1878165
1995-08-27 00:00,1396085
1995-08-28 00:00,6045193
1995-08-29 00:00,141229223
1995-08-30 00:00,193468098
1995-08-31 00:00,591683062
1995-09-01 00:00,444083801
1995-09-02 00:00,2385490
1995-09-03 00:00,1365210
1995-09-04 00:00,139698699
1995-09-05 00:00,89054474
1995-09-06 00:00,87331377
1995-09-07 00:00,107669945
1995-09-08 00:00,452365659
1995-09-09 00:00,3329500
1995-09-10 00:00,2644445
1995-09-11 00:00,115911911
1995-09-12 00:00,85810299
1995-09-13 00:00,68920369
1995-09-14 00:00,119265437
1995-09-15 00:00,505888466
1995-09-16 00:00,1786296
1995-09-17 00:00,1239645
1995-09-18 00:00,118546804
1995-09-19 00:00,80571614
1995-09-20 00:00,100010556
1995-09-21 00:00,107053905
1995-09-22 00:00,503982937
1995-09-23 00:00,2129545
1995-09-24 00:00,2410882
1995-09-25 00:00,130231055
1995-09-26 00:00,81056330
1995-09-27 00:00,117306614
1995-09-28 00:00,197726096
1995-09-29 00:00,1208465500
1995-09-30 00:00,4468416
1995-10-01 00:00,3451885
1995-10-02 00:00,141688416
1995-10-03 00:00,67082379
1995-10-04 00:00,80901723
1995-10-05 00:00,89635703
1995-10-06 00:00,451023106
1995-10-07 00:00,2190899
1995-10-08 00:00,2583344
1995-10-09 00:00,108984078
1995-10-10 00:00,81539710
1995-10-11 00:00,89667574
1995-10-12 00:00,208080520
1995-10-13 00:00,254193012
1995-10-14 00:00,2593570
1995-10-15 00:00,2218462
1995-10-16 00:00,152055847
1995-10-17 00:00,80148293
1995-10-18 00:00,108914328
1995-10-19 00:00,113012417
1995-10-20 00:00,507998739
1995-10-21 00:00,3211459
1995-10-22 00:00,1928000
1995-10-23 00:00,140667558
1995-10-24 00:00,95169244
1995-10-25 00:00,119270042
1995-10-26 00:00,147855773
1995-10-27 00:00,742306222
1995-10-28 00:00,2232380
1995-10-29 00:00,4503340
1995-10-30 00:00,181570800
1995-10-31 00:00,405319805
1995-11-01 00:00,131622131
1995-11-02 00:00,84152870
1995-11-03 00:00,394941396
1995-11-04 00:00,1853250
1995-11-05 00:00,1014840
1995-11-06 00:00,108243978
1995-11-07 00:00,71063732
1995-11-08 00:00,90812046
1995-11-09 00:00,94276504
1995-11-10 00:00,460453304
1995-11-11 00:00,4267180
1995-11-12 00:00,1568130
1995-11-13 00:00,90620187
1995-11-14 00:00,94974995
1995-11-15 00:00,114000591
1995-11-16 00:00,99692057
1995-11-17 00:00,505798460
1995-11-18 00:00,2408449
1995-11-19 00:00,2416450
1995-11-20 00:00,129178996
1995-11-21 00:00,73916946
1995-11-22 00:00,96477840
1995-11-23 00:00,115952560
1995-11-24 00:00,615935203
1995-11-25 00:00,3022080
1995-11-26 00:00,1961800
1995-11-27 00:00,141837335
1995-11-28 00:00,105849750
1995-11-29 00:00,171678336
1995-11-30 00:00,741495579
1995-12-01 00:00,554765533
1995-12-02 00:00,1870400
1995-12-03 00:00,1717326
1995-12-04 00:00,153505830
1995-12-05 00:00,88951240
1995-12-06 00:00,116378479
1995-12-07 00:00,145728074
1995-12-08 00:00,665190231
1995-12-09 00:00,2131171
1995-12-10 00:00,3401263
1995-12-11 00:00,171526595
1995-12-12 00:00,136617719
1995-12-13 00:00,106354489
1995-12-14 00:00,210776628
1995-12-15 00:00,942102485
1995-12-16 00:00,2750460
1995-12-17 00:00,2614540
1995-12-18 00:00,272222688
1995-12-19 00:00,195197475
1995-12-20 00:00,320984501
1995-12-21 00:00,447492640
1995-12-22 00:00,267999162
1995-12-23 00:00,1553175
1995-12-24 00:00,1213595
1995-12-25 00:00,666146
1995-12-26 00:00,564445
1995-12-27 00:00,8046548
1995-12-28 00:00,46755487
1995-12-29 00:00,124856012
1995-12-30 00:00,1578347
1995-12-31 00:00,1442520
1996-01-01 00:00,4833659
1996-01-02 00:00,59083691
1996-01-03 00:00,86591206
1996-01-04 00:00,68044010
1996-01-05 00:00,315171318
1996-01-06 00:00,8670708
1996-01-07 00:00,3018140
1996-01-08 00:00,94035560
1996-01-09 00:00,57311944
1996-01-10 00:00,85149995
1996-01-11 00:00,68546392
1996-01-12 00:00,370669081
1996-01-13 00:00,3852540
1996-01-14 00:00,3776100
1996-01-15 00:00,118277086
1996-01-16 00:00,64481379
1996-01-17 00:00,70430851
1996-01-18 00:00,73911951
1996-01-19 00:00,364524722
1996-01-20 00:00,6384944
1996-01-21 00:00,4584590
1996-01-22 00:00,95373725
1996-01-23 00:00,53535450
1996-01-24 00:00,79895697
1996-01-25 00:00,95429168
1996-01-26 00:00,567917691
1996-01-27 00:00,2402934
1996-01-28 00:00,3957425
1996-01-29 00:00,122617207
1996-01-30 00:00,90188574
1996-01-31 00:00,469021177
1996-02-01 00:00,111731082
1996-02-02 00:00,304792025
1996-02-03 00:00,2231858
1996-02-04 00:00,1106720
1996-02-05 00:00,81975515
1996-02-06 00:00,48567625
1996-02-07 00:00,77186340
1996-02-08 00:00,74364499
1996-02-09 00:00,360385174
1996-02-10 00:00,1814842
1996-02-11 00:00,1863001
1996-02-12 00:00,97693761
1996-02-13 00:00,42653415
1996-02-14 00:00,101709103
1996-02-15 00:00,94139785
1996-02-16 00:00,416574096
1996-02-17 00:00,1891500
1996-02-18 00:00,2373872
1996-02-19 00:00,121146605
1996-02-20 00:00,73063729
1996-02-21 00:00,97868866
1996-02-22 00:00,94044788
1996-02-23 00:00,477277115
1996-02-24 00:00,2298596
1996-02-25 00:00,1782243
1996-02-26 00:00,122246249
1996-02-27 00:00,77239625
1996-02-28 00:00,154719674
1996-02-29 00:00,570368270
1996-03-01 00:00,426570867
1996-03-02 00:00,2443655
1996-03-03 00:00,3343097
1996-03-04 00:00,106556014
1996-03-05 00:00,62971326
1996-03-06 00:00,76358220
1996-03-07 00:00,88129321
1996-03-08 00:00,397296736
1996-03-09 00:00,3133705
1996-03-10 00:00,2591140
1996-03-11 00:00,93713825
1996-03-12 00:00,73050711
1996-03-13 00:00,63745235
1996-03-14 00:00,106758550
1996-03-15 00:00,470518238
1996-03-16 00:00,1429600
1996-03-17 00:00,1863470
1996-03-18 00:00,115515455
1996-03-19 00:00,66005939
1996-03-20 00:00,95938918
1996-03-21 00:00,104086259
1996-03-22 00:00,501657454
1996-03-23 00:00,5199734
1996-03-24 00:00,3426400
1996-03-25 00:00,145145250
1996-03-26 00:00,99120521
1996-03-27 00:00,139640037
1996-03-28 00:00,245980247
1996-03-29 00:00,1333584659
1996-03-30 00:00,3448873
1996-03-31 00:00,5606176
1996-04-01 00:00,203958615
1996-04-02 00:00,130578001
1996-04-03 00:00,177941669
1996-04-04 00:00,568900693
1996-04-05 00:00,2835291
1996-04-06 00:00,1569468
1996-04-07 00:00,1771050
1996-04-08 00:00,1398587
1996-04-09 00:00,108327311
1996-04-10 00:00,140626637
1996-04-11 00:00,118617837
1996-04-12 00:00,454727618
1996-04-13 00:00,1680194
1996-04-14 00:00,3755845
1996-04-15 00:00,150376024
1996-04-16 00:00,90192821
1996-04-17 00:00,93604947
1996-04-18 00:00,110746221
1996-04-19 00:00,477483205
1996-04-20 00:00,4524950
1996-04-21 00:00,1743050
1996-04-22 00:00,122249163
1996-04-23 00:00,75341759
